"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with a smartphone and no other t"
"06037500403, CA","06037500403","=""06037500403""","3.28"
"06037432000, CA","06037432000","=""06037432000""","1.75"
"06037276601, CA","06037276601","=""06037276601""","0.00"
"06037701902, CA","06037701902","=""06037701902""","3.86"
"06037550700, CA","06037550700","=""06037550700""","4.95"
"06037551800, CA","06037551800","=""06037551800""","4.04"
"06037106520, CA","06037106520","=""06037106520""","6.91"
"06037274202, CA","06037274202","=""06037274202""","3.85"
"06037920329, CA","06037920329","=""06037920329""","3.47"
"06037461700, CA","06037461700","=""06037461700""","3.03"
"06037113421, CA","06037113421","=""06037113421""","11.28"
"06037300600, CA","06037300600","=""06037300600""","4.64"
"06037269300, CA","06037269300","=""06037269300""","2.35"
"06037536200, CA","06037536200","=""06037536200""","7.25"
"06037187102, CA","06037187102","=""06037187102""","3.63"
"06037131600, CA","06037131600","=""06037131600""","4.55"
"06037481500, CA","06037481500","=""06037481500""","9.27"
"06037108102, CA","06037108102","=""06037108102""","2.05"
"06037127400, CA","06037127400","=""06037127400""","15.66"
"06037502801, CA","06037502801","=""06037502801""","3.55"
"06037543801, CA","06037543801","=""06037543801""","2.87"
"06037576700, CA","06037576700","=""06037576700""","4.71"
"06037554522, CA","06037554522","=""06037554522""","2.27"
"06037310900, CA","06037310900","=""06037310900""","2.24"
"06037480702, CA","06037480702","=""06037480702""","2.75"
"06037920016, CA","06037920016","=""06037920016""","0.00"
"06037670413, CA","06037670413","=""06037670413""","3.04"
"06037702600, CA","06037702600","=""06037702600""","2.54"
"06037403703, CA","06037403703","=""06037403703""","1.89"
"06037621204, CA","06037621204","=""06037621204""","6.01"
"06037430002, CA","06037430002","=""06037430002""","3.65"
"06037310800, CA","06037310800","=""06037310800""","2.78"
"06037571400, CA","06037571400","=""06037571400""","1.68"
"06037134421, CA","06037134421","=""06037134421""","0.00"
"06037408625, CA","06037408625","=""06037408625""","2.87"
"06037188100, CA","06037188100","=""06037188100""","4.83"
"06037541200, CA","06037541200","=""06037541200""","7.99"
"06037900701, CA","06037900701","=""06037900701""","4.72"
"06037405600, CA","06037405600","=""06037405600""","6.86"
"06037480500, CA","06037480500","=""06037480500""","3.98"
"06037403902, CA","06037403902","=""06037403902""","5.22"
