"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with a cellular data plan and no"
"06037920016, CA","06037920016","=""06037920016""","0.94"
"06037670413, CA","06037670413","=""06037670413""","3.86"
"06037702600, CA","06037702600","=""06037702600""","2.92"
"06037403703, CA","06037403703","=""06037403703""","4.38"
"06037621204, CA","06037621204","=""06037621204""","5.23"
"06037430002, CA","06037430002","=""06037430002""","10.63"
"06037310800, CA","06037310800","=""06037310800""","6.42"
"06037571400, CA","06037571400","=""06037571400""","6.24"
"06037134421, CA","06037134421","=""06037134421""","4.62"
"06037408625, CA","06037408625","=""06037408625""","8.08"
"06037188100, CA","06037188100","=""06037188100""","6.40"
"06037541200, CA","06037541200","=""06037541200""","16.35"
"06037900701, CA","06037900701","=""06037900701""","9.85"
"06037405600, CA","06037405600","=""06037405600""","3.74"
"06037480500, CA","06037480500","=""06037480500""","5.46"
"06037403902, CA","06037403902","=""06037403902""","2.07"
